bill_date,Seeds,Pesticides,Fertilizers,Bio_Pesticides,Bio_Fertilizers
2016-06-10,11300.0,0,0,0,0
2016-06-10,4600.0,0,0,0,0
2016-06-01,--,--,--,--,--
2016-06-02,--,--,--,--,--
2016-06-03,--,--,--,--,--
2016-06-04,--,--,--,--,--
2016-06-05,--,--,--,--,--
2016-06-06,--,--,--,--,--
2016-06-07,--,--,--,--,--
2016-06-08,--,--,--,--,--
2016-06-09,--,--,--,--,--
2016-06-11,--,--,--,--,--
2016-06-12,--,--,--,--,--
2016-06-13,--,--,--,--,--
2016-06-14,--,--,--,--,--
Total,15900.0,0,0,0,0
